DR_NO,AREA,AREA NAME,Rpt Dist No,LOCATION,Cross Street,LAT,LON,,,,,,,,,,,,,,,
200111423,1,Central,191,18TH ST,GEORGIA,34.0363,-118.2733,,,,,,,,,,,,,,,
201307616,13,Newton,1371,54TH ST,BROADWAY AV,33.9933,-118.2783,,,,,,,,,,,,,,,
201714209,17,Devonshire,1767,OSO AV,PRAIRIE ST,34.2442,-118.5362,,,,,,,,,,,,,,,
201811487,18,Southeast,1826,99TH ST,COMPTON AV,33.947,-118.2462,,,,,,,,,,,,,,,
201811722,18,Southeast,1822,300 W 102ND ST,,33.9437,-118.2784,,,,,,,,,,,,,,,
200614971,6,Hollywood,648,ST ANDREWS PL,SUNSET BL,34.1,-118.3113,,,,,,,,,,,,,,,
200118991,1,Central,143,5TH ST,BROADWAY,34.0481,-118.2507,,,,,,,,,,,,,,,
201817785,18,Southeast,1806,9000 S CENTRAL AV,,33.9539,-118.2564,,,,,,,,,,,,,,,
200320094,3,Southwest,398,VERNON AV,FIGUEROA ST,34.0038,-118.2827,,,,,,,,,,,,,,,
201819549,18,Southeast,1802,200 W 90TH ST,,33.9546,-118.2763,,,,,,,,,,,,,,,
201311731,13,Newton,1351,4000 BROADWAY PL,,34.0106,-118.2777,,,,,,,,,,,,,,,
201320916,13,Newton,1327,COMPTON AV,ADAMS BL,34.0172,-118.2442,,,,,,,,,,,,,,,
200310593,3,Southwest,331,ADAMS BL,LONGWOOD AV,34.0325,-118.3492,,,,,,,,,,,,,,,
200908938,9,Van Nuys,974,4600 KESTER AV,,34.1546,-118.4574,,,,,,,,,,,,,,,
202012538,20,Olympic,2019,BEVERLY,VIRGIL,34.0748,-118.2868,,,,,,,,,,,,,,,
201406559,14,Pacific,1424,11700 NATIONAL BL,,34.0227,-118.4387,,,,,,,,,,,,,,,
201515700,15,N Hollywood,1557,VINELAND,HESBY,34.162,-118.3703,,,,,,,,,,,,,,,
201806995,18,Southeast,1827,9900 GRAHAM AV,,33.9465,-118.243,,,,,,,,,,,,,,,
201420156,14,Pacific,1457,4700 CAMPBELL DR,,33.9901,-118.4183,,,,,,,,,,,,,,,
201226482,12,77th Street,1283,10300 S WESTERN AV,,33.9418,-118.309,,,,,,,,,,,,,,,
201116185,11,Northeast,1172,1600 GLENDALE BL,,34.0882,-118.2646,,,,,,,,,,,,,,,
202010970,20,Olympic,2034,W 8TH ST,IROLO,34.0577,-118.3009,,,,,,,,,,,,,,,
200410143,4,Hollenbeck,423,1900 SICHEL ST,,34.066,-118.2129,,,,,,,,,,,,,,,
201218464,12,77th Street,1215,1100 W 58TH ST,,33.9897,-118.2938,,,,,,,,,,,,,,,
200814286,8,West LA,803,MANDEVILLE CANYON,KIMBERLY LN,34.0681,-118.4942,,,,,,,,,,,,,,,
200604228,6,Hollywood,646,6500 HOLLYWOOD BL,,34.1016,-118.331,,,,,,,,,,,,,,,
200100528,1,Central,112,FIGUEROA,TEMPLE,34.0606,-118.2477,,,,,,,,,,,,,,,
200610707,6,Hollywood,679,SANTA MONICA BL,SAINT ANDREWS PL,34.0886,-118.3027,,,,,,,,,,,,,,,
200315717,3,Southwest,313,4200 W ADAMS BL,,34.0326,-118.3319,,,,,,,,,,,,,,,
200708243,7,Wilshire,723,7900 BEVERLY BL,,34.0761,-118.3614,,,,,,,,,,,,,,,
200610221,6,Hollywood,643,7200 W HOLLYWOOD BL,,34.1016,-118.3471,,,,,,,,,,,,,,,
201820284,18,Southeast,1841,111TH ST,VERMONT AV,33.9346,-118.2916,,,,,,,,,,,,,,,
201113033,11,Northeast,1136,4000 EAGLE ROCK BL,,34.12,-118.2288,,,,,,,,,,,,,,,
200618841,6,Hollywood,645,HIGHLAND,HOLLYWOOD,34.1016,-118.3387,,,,,,,,,,,,,,,
200713873,7,Wilshire,784,21ST ST,ORANGE DR,34.0389,-118.3505,,,,,,,,,,,,,,,
201909405,19,Mission,1983,8400 SEPULVEDA BL,,34.2231,-118.4677,,,,,,,,,,,,,,,
200515177,5,Harbor,525,500 N AVALON BL,,33.7739,-118.2678,,,,,,,,,,,,,,,
201105807,11,Northeast,1107,6900 N FIGUEROA ST,,34.1278,-118.1929,,,,,,,,,,,,,,,
200615676,6,Hollywood,656,ELEANOR AV,EL CENTRO,34.0898,-118.3244,,,,,,,,,,,,,,,
201204524,12,77th Street,1203,5100 S WESTERN AV,,33.9969,-118.3089,,,,,,,,,,,,,,,
201915764,19,Mission,1964,9300 KESTER AV,,34.2391,-118.4562,,,,,,,,,,,,,,,
200215426,2,Rampart,257,1200 WILSHIRE BL,,34.053,-118.2649,,,,,,,,,,,,,,,
200914943,9,Van Nuys,926,13700 VICTORY BL,,34.1903,-118.4399,,,,,,,,,,,,,,,
200213521,2,Rampart,246,500 S WESTLAKE AV,,34.0599,-118.2731,,,,,,,,,,,,,,,
201512578,15,N Hollywood,1526,LANKERSHIM BL,ERWIN ST,34.183,-118.3856,,,,,,,,,,,,,,,
201821314,18,Southeast,1822,CENTURY,OLIVE,33.9456,-118.2792,,,,,,,,,,,,,,,
201314491,13,Newton,1343,600 E MARTIN LUTHER KING JR BL,,34.0111,-118.2653,,,,,,,,,,,,,,,
201807438,18,Southeast,1831,500 W 127TH ST,,33.9176,-118.2828,,,,,,,,,,,,,,,
201819953,18,Southeast,1863,400 E IMPERIAL HY,,33.9311,-118.2665,,,,,,,,,,,,,,,
200100578,1,Central,163,7TH ST,BROADWAY,34.0456,-118.254,,,,,,,,,,,,,,,
202005550,20,Olympic,2044,900 S NORMANDIE AV,,34.0561,-118.302,,,,,,,,,,,,,,,
201204457,12,77th Street,1218,58TH ST,FIGUEROA ST,33.9897,-118.2827,,,,,,,,,,,,,,,
202110740,21,Topanga,2125,7800 TOPANGA CANYON BL,,34.2123,-118.606,,,,,,,,,,,,,,,
201320726,13,Newton,1333,1000 E 33RD ST,,34.0138,-118.2577,,,,,,,,,,,,,,,
201611836,16,Foothill,1684,11900 ROSCOE BL,,34.2216,-118.3925,,,,,,,,,,,,,,,
201810045,18,Southeast,1839,2100 E 107TH ST,,33.9389,-118.2336,,,,,,,,,,,,,,,
200212207,2,Rampart,285,12TH ST,BONNIE BRAE,34.0477,-118.2794,,,,,,,,,,,,,,,
201218005,12,77th Street,1207,900 W 50TH ST,,33.9979,-118.2884,,,,,,,,,,,,,,,
201321167,13,Newton,1307,TOWNE AV,7TH ST,34.0395,-118.2451,,,,,,,,,,,,,,,
200912618,9,Van Nuys,981,VENTURA BL,SEPULVEDA,34.1538,-118.4662,,,,,,,,,,,,,,,
200111334,1,Central,111,COLLEGE,HILL,34.0644,-118.2387,,,,,,,,,,,,,,,
201225069,12,77th Street,1215,VERMONT AV,54TH ST,33.9932,-118.2915,,,,,,,,,,,,,,,
200610885,6,Hollywood,657,SANTA MONICA,VAN NESS,34.0908,-118.3157,,,,,,,,,,,,,,,
201316231,13,Newton,1383,5900 S BROADWAY,,33.9867,-118.2783,,,,,,,,,,,,,,,
200517240,5,Harbor,529,AVALON,ANAHEIM,33.78,-118.2624,,,,,,,,,,,,,,,
201209720,12,77th Street,1239,59TH ST,BONSALLO AV,33.9874,-118.2859,,,,,,,,,,,,,,,
201817526,18,Southeast,1844,E 109TH ST,AVALON BL,33.9373,-118.2652,,,,,,,,,,,,,,,
201214708,12,77th Street,1265,1100 W 80TH ST,,33.9665,-118.2945,,,,,,,,,,,,,,,
202108172,21,Topanga,2137,21000 SHERMAN WY,,34.2047,-118.5879,,,,,,,,,,,,,,,
200215587,2,Rampart,237,200 COLUMBIA PL,,34.0603,-118.263,,,,,,,,,,,,,,,
201212388,12,77th Street,1253,7700 S HARVARD BL,,33.97,-118.3068,,,,,,,,,,,,,,,
201513074,15,N Hollywood,1506,SHERMAN WY,TUJUNGA,34.2012,-118.379,,,,,,,,,,,,,,,
201713682,17,Devonshire,1793,TAMPA,PARTHENIA,34.2282,-118.5535,,,,,,,,,,,,,,,
201015533,10,West Valley,1037,LOUISE,VANOWEN,34.1939,-118.5098,,,,,,,,,,,,,,,
211806777,18,Southeast,1841,11000 S FIGUEROA ST,,33.9367,-118.2871,,,,,,,,,,,,,,,
202107618,21,Topanga,2128,20200 ELKWOOD ST,,34.2124,-118.5735,,,,,,,,,,,,,,,
201808239,18,Southeast,1841,700 W 104TH PL,,33.9416,-118.2869,,,,,,,,,,,,,,,
200105126,1,Central,176,8TH,SAN PEDRO,34.0385,-118.2491,,,,,,,,,,,,,,,
201214763,12,77th Street,1248,70TH ST,VERMONT AV,33.9763,-118.2915,,,,,,,,,,,,,,,
201219570,12,77th Street,1265,1400 W 80TH ST,,33.9664,-118.3025,,,,,,,,,,,,,,,
200309318,3,Southwest,356,1700 W JEFFERSON BL,,34.0256,-118.3061,,,,,,,,,,,,,,,
201912862,19,Mission,1902,FOOTHILL,TYLER,34.3183,-118.4442,,,,,,,,,,,,,,,
201907944,19,Mission,1944,10900 LAUREL CANYON BL,,34.2689,-118.4429,,,,,,,,,,,,,,,
201220616,12,77th Street,1243,1800 W 70TH ST,,33.9762,-118.3095,,,,,,,,,,,,,,,
200612937,6,Hollywood,642,7800 W SUNSET BL,,34.0981,-118.3599,,,,,,,,,,,,,,,
201200716,12,77th Street,1219,400 W 52ND PL,,33.9951,-118.2807,,,,,,,,,,,,,,,
201005429,10,West Valley,1008,BALBOA,ROSCOE,34.2212,-118.5012,,,,,,,,,,,,,,,
200206554,2,Rampart,275,WESTLAKE,OLYMPIC,34.0512,-118.2787,,,,,,,,,,,,,,,
200908695,9,Van Nuys,941,5700 SEPULVEDA BL,,34.174,-118.4662,,,,,,,,,,,,,,,
201110760,11,Northeast,1162,4600 W SUNSET BL,,34.0982,-118.2898,,,,,,,,,,,,,,,
200516278,5,Harbor,563,600 W 12TH ST,,33.7333,-118.2906,,,,,,,,,,,,,,,
201312469,13,Newton,1307,7TH,CROCKER,34.0401,-118.2459,,,,,,,,,,,,,,,
201304976,13,Newton,1367,1500 E 53RD ST,,33.9993,-118.2432,,,,,,,,,,,,,,,
201419785,14,Pacific,1443,1400 VENICE BL,,33.9958,-118.4492,,,,,,,,,,,,,,,
200713112,7,Wilshire,722,3RD ST,LA CIENEGA BL,34.0734,-118.3765,,,,,,,,,,,,,,,
201818181,18,Southeast,1842,100 W 111TH ST,,33.9348,-118.2744,,,,,,,,,,,,,,,
200315929,3,Southwest,321,5600 W JEFFERSON BL,,34.0258,-118.3668,,,,,,,,,,,,,,,
200510690,5,Harbor,514,1000 W OPP ST,,33.7822,-118.2751,,,,,,,,,,,,,,,
201306346,13,Newton,1342,3500 MAPLE AV,,34.0164,-118.2699,,,,,,,,,,,,,,,
201807244,18,Southeast,1802,FIGUEROA ST,91ST ST,33.9543,-118.2827,,,,,,,,,,,,,,,
200404603,4,Hollenbeck,424,3500 VALLEY BL,,34.07,-118.1998,,,,,,,,,,,,,,,
202013205,20,Olympic,2033,7TH,HOBART,34.0597,-118.3053,,,,,,,,,,,,,,,
201707034,17,Devonshire,1718,11200 WHITMAN AV,,34.2734,-118.4779,,,,,,,,,,,,,,,
201818709,18,Southeast,1849,MONA BL,112TH ST,33.9334,-118.2304,,,,,,,,,,,,,,,
202000747,20,Olympic,2029,300 S VIRGIL AV,,34.0686,-118.2868,,,,,,,,,,,,,,,
200815102,8,West LA,828,900 HILGARD AV,,34.062,-118.4415,,,,,,,,,,,,,,,
202013972,20,Olympic,2063,WESTERN AV,PICO BL,34.0472,-118.309,,,,,,,,,,,,,,,
200107531,1,Central,135,4TH,MAIN,34.0481,-118.2472,,,,,,,,,,,,,,,
200513998,5,Harbor,584,1300 W 35TH ST,,33.717,-118.3056,,,,,,,,,,,,,,,
201226637,12,77th Street,1209,FLOWER ST,47TH ST,34.001,-118.2815,,,,,,,,,,,,,,,
200117422,1,Central,157,500 STANFORD AV,,34.0416,-118.244,,,,,,,,,,,,,,,
200315259,3,Southwest,326,27TH ST,HALLDALE AV,34.0309,-118.3028,,,,,,,,,,,,,,,
200511783,5,Harbor,517,400 E M ST,,33.7891,-118.2586,,,,,,,,,,,,,,,
201711324,17,Devonshire,1737,11300 MCLENNAN AV,,34.2756,-118.5011,,,,,,,,,,,,,,,
202107253,21,Topanga,2183,23100 GAINFORD ST,,34.1602,-118.6299,,,,,,,,,,,,,,,
200906470,9,Van Nuys,909,7400 WOODMAN AV,,34.2049,-118.4313,,,,,,,,,,,,,,,
200415116,4,Hollenbeck,451,MYERS,KEARNEY ST,34.0526,-118.2278,,,,,,,,,,,,,,,
200114129,1,Central,161,7TH,FRANCISCO,34.0499,-118.2615,,,,,,,,,,,,,,,
200408081,4,Hollenbeck,427,2500 N SOTO ST,,34.0802,-118.1848,,,,,,,,,,,,,,,
200515518,5,Harbor,514,1000 N WILMINGTON BL,,33.7897,-118.2787,,,,,,,,,,,,,,,
201405999,14,Pacific,1412,PALOMA,OCEAN FRONT WK,33.9936,-118.4788,,,,,,,,,,,,,,,
201600886,16,Foothill,1657,10100 FERNGLEN AV,,34.2523,-118.2943,,,,,,,,,,,,,,,
201213371,12,77th Street,1259,FLORENCE AV,TOWNE AV,33.9747,-118.2674,,,,,,,,,,,,,,,
200306895,3,Southwest,375,2000 W MARTIN LUTHER KING JR BL,,34.0146,-118.313,,,,,,,,,,,,,,,
201504847,15,N Hollywood,1519,10900 VICTORY BL,,34.1909,-118.3654,,,,,,,,,,,,,,,
200816895,8,West LA,848,2100 CENTURY PARK LN,,34.0562,-118.4114,,,,,,,,,,,,,,,
200212999,2,Rampart,245,500 S PARK VIEW ST,,34.0627,-118.2774,,,,,,,,,,,,,,,
200705967,7,Wilshire,782,VENICE,CADILLAC,34.0375,-118.3742,,,,,,,,,,,,,,,
200214051,2,Rampart,246,6TH,BURLINGTON,34.0598,-118.2734,,,,,,,,,,,,,,,
200322130,3,Southwest,395,WESTERN AV,VERNON AV,34.0037,-118.3089,,,,,,,,,,,,,,,
201215923,12,77th Street,1253,7600 S DENKER AV,,33.9709,-118.3112,,,,,,,,,,,,,,,
201108938,11,Northeast,1118,N AVENUE 56,ASH ST,34.114,-118.1949,,,,,,,,,,,,,,,
200407077,4,Hollenbeck,497,OLYMPIC BL,SPENCE ST,34.0188,-118.2028,,,,,,,,,,,,,,,
200618611,6,Hollywood,668,5600 FERNWOOD AV,,34.0958,-118.311,,,,,,,,,,,,,,,
200609528,6,Hollywood,656,HUDSON AV,ROMAINE ST,34.0889,-118.3321,,,,,,,,,,,,,,,
200415360,4,Hollenbeck,451,MISSION RD,1ST,34.0479,-118.2277,,,,,,,,,,,,,,,
200214938,2,Rampart,279,1300 W OLYMPIC BL,,34.0473,-118.2701,,,,,,,,,,,,,,,
200410078,4,Hollenbeck,427,4700 GREY DR,,34.0831,-118.1825,,,,,,,,,,,,,,,
200513063,5,Harbor,589,3600 S PACIFIC AV,,33.7112,-118.2879,,,,,,,,,,,,,,,
201320854,13,Newton,1322,ADAMS BL,SAN PEDRO,34.0218,-118.2617,,,,,,,,,,,,,,,
201310767,13,Newton,1394,67TH ST,MAIN ST,33.9788,-118.2739,,,,,,,,,,,,,,,
201906703,19,Mission,1984,KESTER,PARTHENIA,34.2281,-118.4575,,,,,,,,,,,,,,,
200412072,4,Hollenbeck,429,3100 SHEFFIELD AV,,34.0811,-118.1614,,,,,,,,,,,,,,,
201315222,13,Newton,1391,71ST ST,GRAND AV,33.9756,-118.2789,,,,,,,,,,,,,,,
201811387,18,Southeast,1842,200 W IMPERIAL HY,,33.9347,-118.2761,,,,,,,,,,,,,,,
201607773,16,Foothill,1639,10300 SILVERTON AV,,34.2559,-118.284,,,,,,,,,,,,,,,
201219444,12,77th Street,1253,N 76TH ST,CIMARRON ST,33.9709,-118.3156,,,,,,,,,,,,,,,
201814948,18,Southeast,1801,500 W 87TH ST,,33.9587,-118.2833,,,,,,,,,,,,,,,
200707683,7,Wilshire,745,5300 W OLYMPIC BL,,34.0572,-118.3459,,,,,,,,,,,,,,,
201316640,13,Newton,1373,700 E 55TH ST,,33.9925,-118.2629,,,,,,,,,,,,,,,
200315152,3,Southwest,334,3000 S NORTON AV,,34.0267,-118.3327,,,,,,,,,,,,,,,
201110471,11,Northeast,1183,LOGAN,SUNSET,34.0784,-118.2577,,,,,,,,,,,,,,,
200514901,5,Harbor,515,1400 BAY VIEW AV,,33.7908,-118.2708,,,,,,,,,,,,,,,
200204801,2,Rampart,245,7TH ST,ALVARADO,34.0565,-118.2768,,,,,,,,,,,,,,,
202009433,20,Olympic,2021,4600 W 3RD ST,,34.069,-118.3154,,,,,,,,,,,,,,,
201911468,19,Mission,1918,FERNMONT,COMETA,34.3008,-118.4273,,,,,,,,,,,,,,,
201217837,12,77th Street,1204,49TH ST,DENKER AV,34.0017,-118.2979,,,,,,,,,,,,,,,
202010611,20,Olympic,2093,2000 S HOBART BL,,34.0392,-118.3062,,,,,,,,,,,,,,,
200300709,3,Southwest,361,5000 OBAMA BL,,34.0171,-118.3531,,,,,,,,,,,,,,,
200812375,8,West LA,835,SEPULVEDA,SANTA MONICA,34.0474,-118.4443,,,,,,,,,,,,,,,
202018624,20,Olympic,2055,1000 S KENMORE AV,,34.0509,-118.2968,,,,,,,,,,,,,,,
201904495,19,Mission,1983,SEPULVEDA,CHASE,34.2247,-118.4677,,,,,,,,,,,,,,,
201218262,12,77th Street,1203,54TH ST,RUTHELEN ST,33.9994,-118.3108,,,,,,,,,,,,,,,
200605766,6,Hollywood,646,HOLLYWOOD,WHITLEY,34.1016,-118.3333,,,,,,,,,,,,,,,
201818180,18,Southeast,1842,100 W 111TH ST,,33.9348,-118.2744,,,,,,,,,,,,,,,
200407011,4,Hollenbeck,438,LOMBARDY,ALHAMBRA,34.0742,-118.1731,,,,,,,,,,,,,,,
201911003,19,Mission,1988,CANTERBURY,RANGOON,34.2295,-118.4244,,,,,,,,,,,,,,,
200309767,3,Southwest,374,W MARTIN LUTHER KING JR BL,S ROXTON AV,34.0108,-118.3214,,,,,,,,,,,,,,,
200304743,3,Southwest,363,SANTA ROSALIA DR,HILLCREST DR,34.0138,-118.3465,,,,,,,,,,,,,,,
201007045,10,West Valley,1049,WOODLEY,VICTORY,34.1867,-118.4836,,,,,,,,,,,,,,,
200905590,9,Van Nuys,911,7100 SEPULVEDA BL,,34.1938,-118.4702,,,,,,,,,,,,,,,
201912322,19,Mission,1998,14100 BURTON ST,,34.2206,-118.4408,,,,,,,,,,,,,,,
201317136,13,Newton,1341,3400 S HILL ST,,34.0193,-118.2751,,,,,,,,,,,,,,,
200312726,3,Southwest,361,4000 NICOLET AV,,34.0171,-118.3531,,,,,,,,,,,,,,,
200917606,9,Van Nuys,929,6500 FULTON AV,,34.1887,-118.4225,,,,,,,,,,,,,,,
200320058,3,Southwest,314,2300 W 24TH ST,,34.0349,-118.3182,,,,,,,,,,,,,,,
200204871,2,Rampart,235,2100 W TEMPLE ST,,34.0703,-118.268,,,,,,,,,,,,,,,
200708332,7,Wilshire,753,WASHINGTON BL,3RD AV,34.0537,-118.3619,,,,,,,,,,,,,,,
201200705,12,77th Street,1205,1000 W 52ND ST,,33.9974,-118.2982,,,,,,,,,,,,,,,
200618923,6,Hollywood,648,WESTERN,SUNSET,34.0981,-118.3092,,,,,,,,,,,,,,,
201805474,18,Southeast,1821,600 W 99TH ST,,33.9464,-118.2848,,,,,,,,,,,,,,,
201817599,18,Southeast,1802,9200 S FIGUEROA ST,,33.9524,-118.2827,,,,,,,,,,,,,,,
201214847,12,77th Street,1249,6200 S FIGUEROA ST,,33.983,-118.2827,,,,,,,,,,,,,,,
201600883,16,Foothill,1695,KESWICK ST,RIVERTON AV,34.2103,-118.366,,,,,,,,,,,,,,,
201309725,13,Newton,1313,16TH ST,MAPLE AV,34.0313,-118.2584,,,,,,,,,,,,,,,
200615862,6,Hollywood,646,1500 VINE ST,,34.0987,-118.3337,,,,,,,,,,,,,,,
200216176,2,Rampart,235,BEVERLY,LAKE,34.0671,-118.2714,,,,,,,,,,,,,,,
201613144,16,Foothill,1611,BRADLEY AV,DEL SUR ST,34.2786,-118.4285,,,,,,,,,,,,,,,
200517960,5,Harbor,563,700 W 17TH ST,,33.7288,-118.2929,,,,,,,,,,,,,,,
200914112,9,Van Nuys,941,BURBANK,VAN NUYS,34.1721,-118.4487,,,,,,,,,,,,,,,
201009228,10,West Valley,1005,7700 HESPERIA AV,,34.2105,-118.5263,,,,,,,,,,,,,,,
201513788,15,N Hollywood,1522,SHERMAN WY,ETHEL,34.2012,-118.4181,,,,,,,,,,,,,,,
201207243,12,77th Street,1273,MANCHESTER AV,NORMANDIE AV,33.96,-118.3003,,,,,,,,,,,,,,,
201413193,14,Pacific,1431,2000 PACIFIC AV,,33.9856,-118.4705,,,,,,,,,,,,,,,
201821290,18,Southeast,1837,GRAHAM,105TH ST,33.9407,-118.2427,,,,,,,,,,,,,,,
201201021,12,77th Street,1266,900 W 81ST ST,,33.9655,-118.2889,,,,,,,,,,,,,,,
200400670,4,Hollenbeck,456,2500 WABASH AV,,34.052,-118.2014,,,,,,,,,,,,,,,
200215563,2,Rampart,201,HELIOTROPE,MELROSE,34.0836,-118.2949,,,,,,,,,,,,,,,
201512102,15,N Hollywood,1532,6500 RHODES AV,,34.1885,-118.4031,,,,,,,,,,,,,,,
201609968,16,Foothill,1617,11100 ORO VISTA AV,,34.2724,-118.3243,,,,,,,,,,,,,,,
200617033,6,Hollywood,666,SUNSET,WILCOX,34.098,-118.331,,,,,,,,,,,,,,,
201814365,18,Southeast,1822,S BROADWAY,W 97TH ST,33.9483,-118.2781,,,,,,,,,,,,,,,
200110823,1,Central,156,500 SAN JULIAN ST,,34.0446,-118.245,,,,,,,,,,,,,,,
201219615,12,77th Street,1269,300 E 84TH PL,,33.9619,-118.2673,,,,,,,,,,,,,,,
200515412,5,Harbor,513,254TH ST,NORMANDIE AV,33.7938,-118.2975,,,,,,,,,,,,,,,
200706974,7,Wilshire,722,3RD,ORLANDO,34.073,-118.3731,,,,,,,,,,,,,,,
200308372,3,Southwest,351,5000 EXPOSITION BL,,34.0247,-118.352,,,,,,,,,,,,,,,
201800746,18,Southeast,1827,9800 ANZAC AV,,33.9465,-118.2379,,,,,,,,,,,,,,,
200504215,5,Harbor,514,FIGUEROA,PACIFIC COAST HY,33.7905,-118.2811,,,,,,,,,,,,,,,
201211990,12,77th Street,1207,900 W 52ND ST,,33.9995,-118.2893,,,,,,,,,,,,,,,
201004973,10,West Valley,1007,7600 OAK PARK AV,,34.2084,-118.5044,,,,,,,,,,,,,,,
202015507,20,Olympic,2099,HOOVER,20TH,34.0381,-118.284,,,,,,,,,,,,,,,
200408716,4,Hollenbeck,497,3300 E OLYMPIC BL,,34.0191,-118.2081,,,,,,,,,,,,,,,
200309754,3,Southwest,361,5000 OBAMA BL,,34.0171,-118.3531,,,,,,,,,,,,,,,
201822605,18,Southeast,1827,9300 GRAHAM AV,,33.9515,-118.243,,,,,,,,,,,,,,,
200304306,3,Southwest,356,1500 EXPOSITION BL,,34.0219,-118.3045,,,,,,,,,,,,,,,
201418918,14,Pacific,1412,PARK AV,SPEEDWAY,33.9916,-118.477,,,,,,,,,,,,,,,
200615792,6,Hollywood,645,1600 N LA BREA AV,,34.0998,-118.3447,,,,,,,,,,,,,,,
200310013,3,Southwest,396,800 W 41ST ST,,34.0092,-118.2872,,,,,,,,,,,,,,,
200413507,4,Hollenbeck,461,1500 E 1ST ST,,34.0474,-118.2237,,,,,,,,,,,,,,,
201200543,12,77th Street,1241,6000 11TH AV,,33.9854,-118.3294,,,,,,,,,,,,,,,
201818096,18,Southeast,1801,88TH ST,ORCHARD ST,33.958,-118.2882,,,,,,,,,,,,,,,
201215670,12,77th Street,1213,5700 S WESTERN AV,,33.991,-118.3089,,,,,,,,,,,,,,,
200712834,7,Wilshire,769,4TH AV,15TH ST,34.0454,-118.3213,,,,,,,,,,,,,,,
200105642,1,Central,111,400 N HILL ST,,34.0576,-118.2427,,,,,,,,,,,,,,,
200312361,3,Southwest,314,3800 W MONT CLAIR ST,,34.0328,-118.323,,,,,,,,,,,,,,,
200512850,5,Harbor,509,1600 W LOMITA BL,,33.7978,-118.3048,,,,,,,,,,,,,,,
201217530,12,77th Street,1204,BUDLONG,47TH ST,34.0006,-118.2959,,,,,,,,,,,,,,,
201906350,19,Mission,1979,BARTEE,WENTWORTH,34.2364,-118.4177,,,,,,,,,,,,,,,
202110701,21,Topanga,2114,7900 SHOUP AV,,34.2137,-118.6147,,,,,,,,,,,,,,,
200313113,3,Southwest,393,43RD ST,LEIMERT BL,34.006,-118.3305,,,,,,,,,,,,,,,
201200795,12,77th Street,1256,7400 S HOOVER ST,,33.9722,-118.2871,,,,,,,,,,,,,,,
201813052,18,Southeast,1844,TOWNE AV,AVALON BL,33.9345,-118.2623,,,,,,,,,,,,,,,
